product_name,weight,form,price_usd,use_type
Acretin 30 g cream,30 g,cream,17,Other
Adol 24 caplets,24 caplets,,23,Pain killer
Aggrex 60 tablets,60 tablets,tablets,14,Other
Airoplast nan Tape,,Tape,19,Other
All-Vent 125 ml syrup,125 ml,syrup,14,Cough syrup / Bronchial
Alphintern 30 tablets,30 tablets,tablets,26,Anti-inflammatory
Ambezim-G 30 tablets,30 tablets,tablets,17,Anti-inflammatory
Amrizole 20 tablets,20 tablets,tablets,22,Other
Antopral 14 tablets,14 tablets,tablets,25,Other
Anuva 10 tablets,10 tablets,tablets,29,Other
Apidone nan syrup,,syrup,17,Cough syrup / Bronchial
Asmakast 30 tablets,30 tablets,tablets,20,Other
Atoreza 28 tablets,28 tablets,tablets,23,Other
Augmentin 14 tablets,14 tablets,tablets,17,Antibiotic
Avosoya 30 capsules,30 capsules,capsules,25,Other
B.B.C. 25 ml spray solution,25 ml,spray,27,Nasal spray
Benogen 10 sachets,10 sachets,sachets,13,Other
Betaderm 30  gm cream,30  g,cream,30,Skin treatment
Betadine 120 ml mouth wash,120 ml,mouth wash,15,Other
Betadine 120 ml solution,120 ml,solution,28,Other
Betadine 60  g ointment,60  g,ointment,30,Other
Bivatracin 150 ml spray,150 ml,spray,16,Nasal spray
Bronchicum Elixir 100 ml nan,100 ml,,11,Other
Bronchopro 100 ml syrup,100 ml,syrup,18,Cough syrup / Bronchial
Brufen 150 ml syrup,150 ml,syrup,23,Pain killer
Brufen 30 tablets,30 tablets,tablets,28,Pain killer
C Zinc 30 capsules,30 capsules,capsules,26,Vitamins / Supplements
C-Retard 10 capsules,10 capsules,capsules,26,Other
C-vit 15 ml oral drops,15 ml,oral drops,16,Vitamins / Supplements
Calidon 20 tablets,20 tablets,tablets,27,Other
Candalkan Plus 14 tablets,14 tablets,tablets,20,Other
Carbamide 30 g cream,30 g,cream,21,Other
Catafast 9 sachets,9 sachets,sachets,16,Pain killer
Cataflam 20 tablets,20 tablets,tablets,20,Other
Ceftriaxone 1 Vial,1 Vial,Vial,27,Antibiotic
Celebrex 15 capsules,15 capsules,capsules,29,Anti-inflammatory
Cemicresto 28 tablets,28 tablets,tablets,26,Other
Cetal 60 ml oral suspension,60 ml,oral suspension,11,Other
Cetal Sinus 20 capsules,20 capsules,capsules,15,Cold & Flu
Cholerose 21 tablets,21 tablets,tablets,18,Other
Choletimb 14 tablets,14 tablets,tablets,12,Other
Ciprodiazole 20 tablets,20 tablets,tablets,16,Antibiotic
Ciprofar 10 tablets,10 tablets,tablets,16,Antibiotic
Ciprofloxacin Tablets USP 39 10 tablets,10 tablets,tablets,28,Antibiotic
Clarinase 14 repetabs,,repetabs,14,Cold & Flu
Claritine 20 tablets,20 tablets,tablets,14,Cold & Flu
Clindasol 20 g gel,20 g,gel,20,Other
Comfort Massage Gel 50 gm gel,50 g,gel,22,Other
Congestal 20 tablets,20 tablets,tablets,29,Cold & Flu
Conta-flu 20 tablets,20 tablets,tablets,13,Cold & Flu
Corasore 25 oral drops,,oral drops,18,Other
Daflon 30 tablets,30 tablets,tablets,30,Other
Daktarin 40 g gel oral,40 g,gel,13,Antibiotic
Dalacin C 10 capsules,10 capsules,capsules,30,Antibiotic
Davalindi 100 tablets,100 tablets,tablets,14,Other
Dentinox nan colic drops,,colic drops,17,Other
Diclac 30  gm gel,30  g,gel,14,Anti-inflammatory
Diclac 75 ID 20 tablets,20 tablets,tablets,24,Anti-inflammatory
Diflucan 1 capsule,,,24,Antibiotic
Diflucan 7 capsules,7 capsules,capsules,14,Antibiotic
Ectomethrin 50 ml emulsion,50 ml,emulsion,27,Other
Enrich 100 ml syrup,100 ml,syrup,13,Cough syrup / Bronchial
Enrich 30 ml oral drops,30 ml,oral drops,22,Other
Ezamol-C 20 tablets,20 tablets,tablets,17,Pain killer
Farcolin 120 ml syrup,120 ml,syrup,21,Cough syrup / Bronchial
Fenistil 15 ml oral drops,15 ml,oral drops,10,Cold & Flu
Feroglobin nan capsules,,capsules,17,Other
Ferrofol 30 spansules,,,17,Vitamins / Supplements
Flagyl 20 tablets,20 tablets,tablets,15,Antibiotic
Flector EP 25  gm gel,25  g,gel,27,Anti-inflammatory
Flix 16 g nasal spray,16 g,spray,18,Nasal spray
Floxabact 10 tablets,10 tablets,tablets,23,Other
Flumox 15 tablets,15 tablets,tablets,12,Antibiotic
Flumox 16 capsules,16 capsules,capsules,14,Antibiotic
Foradil 30 capsules,30 capsules,capsules,29,Other
Free Nose 30 ml nasal spray,30 ml,spray,22,Nasal spray
Frost 100 ml spray,100 ml,spray,11,Nasal spray
Fucicort 15 g cream,15 g,cream,28,Skin treatment
Fucidin 15 g cream,15 g,cream,17,Skin treatment
Fucidin 20 g cream,20 g,cream,10,Skin treatment
Fucidin 30 g cream,30 g,cream,12,Skin treatment
Gabalepsy 20 capsules,20 capsules,capsules,20,Other
Garamycin 15 g cream,15 g,cream,10,Other
Gengigel nan hydrogel,,gel,23,Other
Glucophage 50 tablets,50 tablets,tablets,20,Other
GTN 50 ml cream,50 ml,cream,16,Other
Haemostop 20 tablets,20 tablets,tablets,23,Other
Hayadraxil 500 10 capsules,10 capsules,capsules,26,Antibiotic
Hemoclar 40 g cream,40 g,cream,16,Anti-inflammatory
Hibiotic 16 tablets,16 tablets,tablets,19,Antibiotic
Histazine-1 20 tablets,20 tablets,tablets,28,Cold & Flu
ImmuGuard 14 sachets,14 sachets,sachets,28,Other
Ivypront 120 ml syrup,120 ml,syrup,11,Cough syrup / Bronchial
Janumet 56 tablets,56 tablets,tablets,29,Other
Jogel 20  gm oral gel,20  g,gel,17,Other
Jusprin 60 tablets,60 tablets,tablets,16,Other
La-vie nan gel,,gel,24,Other
Lactulose 120 ml syrup,120 ml,syrup,28,Cough syrup / Bronchial
Lamifen 15  gm cream,15  g,cream,24,Other
Lamisil 15 g cream,15 g,cream,18,Other
Lovir 10 tablets,10 tablets,tablets,19,Other
Mebo 30 mg ointment,30 mg,ointment,13,Skin treatment
Megamox 14 tablets,14 tablets,tablets,15,Other
Micropore nan Tape,,Tape,17,Other
Midodrine 20 tablets,20 tablets,tablets,11,Other
Miflonide 60 capsules,60 capsules,capsules,25,Other
Milga 40 tablets,40 tablets,tablets,16,Other
Minalax 10 tablets,10 tablets,tablets,21,Stomach / Digestive
Motilium 40 tablets,40 tablets,tablets,22,Stomach / Digestive
Mucophylline 125 ml syrup,125 ml,syrup,26,Cough syrup / Bronchial
Mucosta 20 tablets,20 tablets,tablets,23,Stomach / Digestive
Multi-Relax 10 mg tablets,10 mg,tablets,10,Stomach / Digestive
Mupirax 10 g ointment,10 g,ointment,13,Other
Neurovit 30 tablets,30 tablets,tablets,10,Vitamins / Supplements
Night and Day 10 tablets,10 tablets,tablets,30,Cold & Flu
Oracure 30  gm oral gel,30  g,gel,10,Other
Orex 60 ml solution,60 ml,solution,24,Other
Orovex Delicate 250 ml mouth wash,250 ml,mouth wash,11,Other
Osteocare 120 ml liquid,120 ml,liquid,11,Vitamins / Supplements
Pandermal 15 g cream,15 g,cream,24,Skin treatment
Panthenol 20 g cream,20 g,cream,21,Skin treatment
Paramol 20 tablets,20 tablets,tablets,12,Pain killer
Pedical nan syrup,,syrup,10,Cough syrup / Bronchial
Pentamix 120 ml syrup,120 ml,syrup,13,Cough syrup / Bronchial
Phenadone 100 ml syrup,100 ml,syrup,30,Cough syrup / Bronchial
Picolax 15 ml oral drops,15 ml,oral drops,30,Stomach / Digestive
Predsol 50 ml syrup,50 ml,syrup,15,Cough syrup / Bronchial
Pridocaine 15 g cream,15 g,cream,14,Other
Primrose Plus 30 capsules,30 capsules,capsules,17,Vitamins / Supplements
Prinorelax 10 capsules,10 capsules,capsules,28,Stomach / Digestive
Remowax 15 ml ear drops,15 ml,ear drops,22,Eye/Ear
Rennie 96 chewable tablets,,tablets,15,Stomach / Digestive
Reparil-Gel N 40 g gel,40 g,gel,26,Other
Rheumatizen 60 g cream,60 g,cream,15,Anti-inflammatory
Rhinopro 20 capsules,20 capsules,capsules,28,Other
Salivex-L 10 ml paint,10 ml,paint,30,Eye/Ear
Sediproct 20 g cream,20 g,cream,14,Other
SelokenZOC 28 tablets,28 tablets,tablets,10,Other
Solvadol 20 ml spray,20 ml,spray,24,Pain killer
Steronate 20 tablets,20 tablets,tablets,16,Other
Streptoquin 10 tablets,10 tablets,tablets,13,Other
Tareg 40 mg tablets,40 mg,tablets,19,Other
Tears Guard 15 ml eye drops,15 ml,,26,Eye/Ear
Tentavair 160 mcg oral inhalation,160 mcg,inhalation,23,Other
Vidrop 15 ml oral drops,15 ml,oral drops,29,Eye/Ear
Visceralgine 120 ml syrup,120 ml,syrup,13,Cough syrup / Bronchial
Vitacid C 12 tablets,12 tablets,tablets,22,Vitamins / Supplements
Vitamax 15 capsules,15 capsules,capsules,23,Vitamins / Supplements
Zantac 20 tablets,20 tablets,tablets,10,Other
Zenta 100  gm cream,100  g,cream,25,Skin treatment
Zetrac 10 capsules,10 capsules,capsules,20,Other
Zyrtec 10 ml oral drops,10 ml,oral drops,12,Cold & Flu
Zyrtec 20 tablets,20 tablets,tablets,28,Cold & Flu
